Title,Authors,Category_en,weighted_average
Boynul Quran 1 chunk (Hardcover),['(hakimul ummat maulana ashraf ali thanvi rah.)'],['tafsir'],3.43536274208423
The Quran Hadith is the Ilam and Ulama (Hardca),['mufti maganur rahman qasimi (editor)'],"['islamic research, criticism and essay']",1.8707254841684606
Learn Malaysian language in 30 days (Paperback),['muhammad kamruzzaman (editor)'],['middle east'],1.8707254841684606
Muslim philosophical thinker and scientific (paperback),['professor dr.a.b.saiful islam siddiki (translator)'],['islam is religious personality'],1.8707254841684606
Clever Birds Cakatua (Paperback),['moshiur rahman'],['child-teenage story'],1.8707254841684606
Question of Change (D Unit) Dhaka University (Paperback),['mohammad kamal uddin khan'],['preparation of admission test'],2.4965803873347685
Peace Prophet (Hardcover),['ehsanul kabir (translator)'],['when 8-12: biography'],1.8707254841684606
On the bank of the River of Furat (hardcover),['shaikhul islam mufti mufti muhammad toki uthmani'],['typical and travel'],2.4965803873347685
Mind Travel (Hardcover),['md.yachin'],['science fiction'],3.148290193667384
Women's 100 Hadith (Paperback),['maulana mofazzal haque'],['hadith and sunnat'],3.6092113262970935
Question Bunch Aid - Humanities (Paperback),['joycoli editors (editorial)'],['humanities department admission guide'],2.4138169894456403
"Espect Math (University, Engineering, HSC) (Paperback)",['engineer md shamim hossain'],['admission guide to the department of science'],3.4781450968336918
"Hazrat Abdul Kader Jilani, the children of children.(Paperback)",['humayun ayub'],['islam is religious personality'],3.6462901936673844
Power and Shock: Path and Paths (Hardcover),['imam ibn kaiyim jawzyya'],['islamic books: self-development'],3.8916358526195602
Nebonda (Hardcover),['katan sheikh'],['contemporary novel'],1.8965803873347684
The question reads her (hardcover),"[""yasir's mind""]",['contemporary novel'],2.5804836561123072
Writing First All (Paperback),['maulana muhammad abdul alim'],['islamic literature'],2.4965803873347685
The universe of the universe (hardcover),['shahriar hossain'],['space science and astronomy'],3.543575161389487
"The word ""Paperback) in words",['saeed ibn ali al-qahtani'],"['prayer, darood and yikar']",3.0704145623819774
The Alkimist (Hardcover),['paulo coelho'],['translation novel'],3.8828591789397198
What do we do to the Islamic Shari'ah for the dead person (Paperback),['muhammad abdur rahman khandaker'],['islamic rules and masayel'],2.5804836561123072
Short Technique College Mathematical Formula Combination (Paperback),['abdur rahman talukder'],"['childrenis: mathematics, science and technology']",3.4981934624449225
One sister Parul (Hardcor),['imdadul haque milon'],['contemporary novel'],1.8707254841684606
Novel whole -1 (hardcover),['rabindranath tagore'],['classical novel'],1.8707254841684606
Dhaka dawn (hardcover) in fog,['ahmed farid'],['contemporary novel'],1.8707254841684606
Story of injured birds (hardcover),['sahabuddin mahmud'],['contemporary novel'],3.0704145623819774
Ferrari loved (hardcover),['simon nazrul'],['contemporary novel'],2.4965803873347685
Coronakal felet sentiment (hardcover),['raisul uddin beach'],['miscellaneous articles'],1.8965803873347684
Sheikh Sadi's 100 Story (Hardcover),['maulana mohammad ashraf ujjaman (editor)'],['islamic story'],2.4965803873347685
Khairulas Primary and Pre-Primary Assistant Teacher Recruitment Help (Paperback),['khaiirulas publications (editor)'],['primary teacher appointment'],2.9138169894456403
"How to Learn Practical Spoken English, 3rd Edition (Paperback)",['mostofa kamal-2'],['spoken'],3.06036274208423
Infinite science in finite stories (hardcover),['nabil mahmud is the source'],"[""children's mathematics, science and technology""]",3.789582466863167
Muneul Hujjaz (Hajj Guide) (Hardcover),['alhaj muhammad nurul islam mia'],['hajj-umrah and sacrifice'],2.4965803873347685
Why reduced why remembrance increases (hardcover),['mufti muhammad mujibul haque'],['islamic miscellaneous books'],2.56036274208423
Nurani Punjegana Awafa (News),['maulana yusuf ali khan'],"['prayer, darood and yikar']",2.9138169894456403
"When will the Resurrection be?: Imam Mahdi, Dajjal and Jesus' arrival (Hardcover)",['mohammad mizanur rahman (editor)'],['special day and events of islam'],3.748778709762417
African literature and grandchildren (hardcover),['dr.elham hossain'],['literature criticism'],1.8707254841684606
Dietary series (hardcover),['professor dr.mufti muhammad manjurur rahman'],['muslim personality'],1.8707254841684606
Education policy of Bangladesh and other contexts (hardcover),['dr.momtajuddin patwari'],['education'],1.8707254841684606
Some memories speak something (hardcover),['mohammad amjad ali'],['travel memory'],1.8707254841684606
Love is in the rain (hardcover),['naguib mahfuz'],['translation novel'],1.8707254841684606
Padmakhanda (Hardcover),['mohammad sahabuddin'],['contemporary novel'],1.8707254841684606
The folk culture Satakahan,['dr.varun kumar chakraborty'],"['articles of art, culture and heritage']",1.8707254841684606
Time notation (hardcover),['rizvi ahmed'],['politics and political articles'],2.0965803873347686
Ribiurth (Hardcover),['rashikur rahman rifat'],['thriller and adventure novels'],1.9138169894456405
You are rainytime (hardcover),['shahalam saju'],['contemporary novel'],2.4138169894456403
Sudden missack (hardcover),['sajib kanti catch'],['contemporary novel'],1.8707254841684606
Khankabandi people (hardcover),['sheriff al syl'],['contemporary story'],2.7471503227789733
The idea of industrialization (paperback) in al-Qur'an,['ishmael mofizi'],['islamic economy and business trade'],2.4965803873347685
Tidal (hardcover),['captain nurul haque'],['biography and memorization: miscellaneous'],1.8707254841684606
Majhi (hardcover) of Padmandi,['manik bandyopadhyay'],['classical novel'],2.4138169894456403
Jannati's Biography (Hardcover),['amena begum (editor)'],['biography of mahaji women'],1.8707254841684606
Nurani Quran Sharif (Settlement 10),['maulana muhammad ibrahim (translator)'],['nurani quran'],2.7471503227789733
Emajuddin Ahmad Reception Book (Hardcover),['abdul hi sikder (editor)'],['biography and memorization: miscellaneous'],1.8707254841684606
Corruption: Bangladesh watched (hardcover),['abul qasem haider'],['contemporary bangladesh'],1.8707254841684606
"Nevertheless, but the rest (hardcover)",['mohammad asafuddaulah'],['miscellaneous articles'],1.8707254841684606
Adobe Illustrator (CDC) (Paperback),['mahbubur rahman'],['graphics design engineering'],2.0965803873347686
On the way to be a writer (hardcover),['afsana begum (translator)'],['literature and literary'],1.8707254841684606
1000 yards,['mark dauson'],"['mystery, detective, horror, myth, thriller, and adventure: translation']",1.8965803873347684
Facebook Ah Facebook (Hardcover),['tahmina martyr'],['miscellaneous'],1.8707254841684606
Feelings (Hardcover),['mishu moni'],['contemporary novel'],3.678145096833692
Keekcraft (Hardcover),['mustakur rahman'],['running and rumors'],4.548096731222461
Prophet's D'A (Paperback),['noman ali khan'],['discussion of the quran'],4.1655267957782565
War and Piece (Hardcover),['leo tolstoy'],['classical novel'],3.9701527335091495
Literature-Research: Topics and Strategies (Hardcover),['saficunnabi samadi'],['literature criticism'],2.9138169894456403
Jahangirnagar's GK (Paperback),['md. imran khan'],['general knowledge'],2.8809924566672183
Java Programming Atuzed (Paperback),['dr.moktar hossain'],['computer programming'],2.8916358526195602
Horror Novel: Kala Pishutch (Hardcover),['mushtaq ahmed'],['supernatural and ghost'],3.623575161389487
EDS Primary Teacher Recruitment (Paperback),['md.hassan'],['primary teacher entrance'],2.4138169894456403
Khal character (hardcover) in Bengali novels,['md jahangir alam'],['literature criticism'],1.8707254841684606
Green wings (hardcover),['mahmud jewel'],['contemporary novel'],2.2965803873347683
Story about the project (hardcover),['dr.mahbubar rahman khan'],['miscellaneous articles'],1.8707254841684606
Rules of Business (Hardcover),['i. m.m.mohsin'],['business law and rules'],2.4965803873347685
Naory (Hardcor),['monir mohammad'],['contemporary novel'],3.8848386105133725
Car Types (Hardcover),['seven ansari'],['parasicology novel'],3.43536274208423
The story of the Quran for children: Adam (A :) and Hawa (A :) (Paperback),['bayazid bin mustafa'],['children and teens: religious books'],1.8707254841684606
The background of Bangladesh (hardcover),['sheikh hafizur rahman'],['the history of freedom'],1.8707254841684606
My prayer rushed (Paperback),['islam jamal'],"['salat ', ' prayer']",2.9138169894456403
The scent of flowers (hardcover),['sanarar hossain'],['romantic novel'],2.4965803873347685
Bangabandhu Sheikh Mujib and his family (hardcover),['baby moudud'],['historical personality'],2.7462901936673845
GK Master (Paperback),['dew assad'],['general knowledge'],3.06036274208423
"Joycilli morality, values and good governance (41 and 43th BCS Prelry) (Paperback)",['walid islam'],"['morality, values and good governance']",3.06036274208423
Mercury and miracles of the globe (in the light of the Qur'an Hadith) (hardcover),['alhaj maulana fazlul karim'],['rasool in sita'],2.9138169894456403
Mansnabi Rumi-5 (Hardcover),['hazrat maulana jalaluddin rumi (rh)'],['islamic translation book'],2.93536274208423
"In 27 hours in Nurani system, the Quran Education (Lahori printed) (hardcover)",['maulana zahurul haque (editor)'],['quran learning'],4.024605663148546
At the end (hardcover),['riaz fahmi'],['contemporary novel'],4.1206143779368505
Kishoreganj Character (Hardcor),['rafiq akhand'],['biography compilation'],1.8707254841684606
Gaudlika,['parasuram'],['contemporary story'],2.4965803873347685
Constitution (for all competitive exams) (Paperback),['ajay government'],['bangladesh affairs'],2.93536274208423
The night knows the water,['ahmed shahabuddin'],['contemporary novel'],1.8707254841684606
200 hundred golden advice of the Prophet (s) (Paperback),['abdul malek mujahid'],['hadith'],3.211843133810549
Human Story (Hardcover),['ashfaq ahmed'],['history and tradition: research and articles'],4.291950088030629
Kitabus Salat (Hardcover),['maulana muhammad iqbal kailani'],['hadith and sunnat'],3.177350138333846
Joycilli 41st BCS Prelryy IQ (Paperback),['ajay sarkar (editor)'],['mental skill'],2.9138169894456403
Authentia (Hardcover),['mishu moni'],['self development and motivation'],2.2471503227789738
Kudasi whole (hardcover) in the subject-based Hadith,['allama muhammad nasiruddin albani (rh)'],['hadith and sunnat'],4.145120914028077
Dad (Hardcover),['riaz fahmi'],['novel of war of liberation'],4.2221450968336915
Joyli 43th BCS Prelryy International Affairs (Paperback),['ajay sarkar (editor)'],['international affairs'],3.0704145623819774
Story of terrestrial ghosts (hardcover),['hm alamgir rahman (editor)'],"[""children's teenage: mystery, detective, horror, thriller and adventure""]",1.8707254841684606
Write my words (Paperback),['lt.colonel waliullah (retd.)'],"['column collection ', ' compilation']",3.43536274208423
Light Dive (Hardcover),['moslem uddin sea'],['contemporary novel'],3.6092113262970935
Virus-epidemic era: Islamic perspective (Paperback),['maulana abdul halim sherpuri'],"['islamic research, criticism and essay']",1.8707254841684606
I'm Oishee (Hardcover),['humayun kabir'],['miscellaneous'],1.8707254841684606
Language Language in Qatar for 30 days (Paperback),['md. abu bakr siddique (editor)'],['middle-eastern language'],1.8707254841684606
"Dil God is a house, Bowa Khani Nehi- 1 (Paperback)",['maulana hakim muhammad akhtar shahtar (ra)'],['islamic translation book'],1.8707254841684606
Again be our Muslim (Paperback),['abdul halim khan'],['islamic rules and masayel'],1.8707254841684606
Chandrava (Hardcover),['mohammad saif'],['contemporary novel'],3.211843133810549
Easy Meaning of the Qur'an (Paperback),['professor dr.a.b.saiful islam siddiki (translator)'],['the quran'],1.8707254841684606
The Code of Civil Proceed (Hardcover),['addkazi azizur rahman dulal'],['civil procedure & practice law'],1.8707254841684606
Bunch Aid Filling Guide Humanities (Hardcover),['joykli publications ltd. (editor)'],['humanities department admission guide'],2.678445630606713
Miami unknown city (hardcover),['nahid nahid'],['bengali poetry'],2.4965803873347685
The story of Jesus (Ii) is the story (hardcover),['dr. shamim'],"[""children's islamic book""]",2.641843133810549
Easy way to develop merit (hardcover),['mostak ahmad'],['student life development'],2.404809266970349
Artist Studio (Hardcover),['ishtiaq ahmed'],['contemporary novel'],1.8707254841684606
From the Tine River Operator (Hardcover),['ziaul haque'],['islam and contemporary world'],2.4965803873347685
Back to One Eleven (Hardcover),['principal mohammad shahjahan alam saju'],"[""90's and recent bangladesh""]",1.8707254841684606
Juranpur's Story (Hardcover),['arif moinuddin'],['contemporary novel'],2.4965803873347685
Ghuliblow (hardcover),['mustafa mir'],['contemporary novel'],1.8707254841684606
Historical seven March 1971 Events (Paperback),['dr.mohammad hananan'],['political research and essay'],1.8707254841684606
Mother (Hardcover),['rahman mohammad lutfar'],['contemporary novel'],3.7482901936673843
I've seen Himalaya Sukanya Nepal (Hardcover),['mohammad nawab ali'],['typical and travel'],1.8707254841684606
White envelope,['safinaj sultana'],['contemporary novel'],2.4965803873347685
Dreams and dreamings (hardcover),['rumana rashid isi'],['contemporary novel'],1.8707254841684606
Emerals / Love (Hardcover),['renewal'],['miscellaneous'],1.8707254841684606
How many questions come in the head (hardcover),['morshed shafiul hasan'],['childrenis: general knowledge'],1.8707254841684606
How i read (hardcover),['dr.ayia al-khan'],['islamic books: self-development'],3.0536557707415377
Hadrat Abu Bakr (ra) in the story in the story,['muhammad siddique al mindsabi'],"['prophet messenger, sahaba, tabee and oli-awlia']",3.06036274208423
Correct (Hardcover),['takdir ahmed pavel'],['islamic novel'],2.9138169894456403
Profit Marriage (Hardcor),['dr.ali tanatabi'],['personal and family life'],3.8068278853707693
Contemporary Challenge Leader and Leadership (Hardcover),['dr.mobarak hossain'],"['islamic research, criticism and essay']",4.037146302821065
Uninterrupted,['shafin rashed'],['contemporary novel'],1.8707254841684606
Halfway (hardcover),['katan sheikh'],['contemporary novel'],1.8707254841684606
The sum of three corners of the triangle,['zubair alam'],['contemporary novel'],1.8707254841684606
Auliya karam's tears (hardcover),['shahidullah ibrahimi uzandi'],"['prophet messenger, sahaba, tabee and oli-awlia']",2.2471503227789738
40 ways to resolve the problem (solve the problem) (Paperback),['shaikh abdul malik al qasim'],['the help of islamic period and period'],2.4965803873347685
Dua of prayer (which proved from the Prophet (peace and blessings of Allaah be upon him) (Paperback),['abu umama kutubuddin mahmud (editor)'],"['salat ', ' prayer']",1.9138169894456405
Chittagong University Question Bank Business Education - C unit (Paperback),['professor kazi zaker hossain (editor)'],['business education admission guide'],2.7203224374082047
Tafsir Fee Jealel Quran - (7th chunk) (Hardcover),['syed qutub shahid'],['tafsir'],3.43536274208423
"Ensure: Bangladesh Affairs (41, 42 and 43th BCS Prelryy) (Paperback)",['roknuzzaman sohel'],['bangladesh affairs'],2.5804836561123072
Kahashimean (Hardcover),['newaz nepak'],['thriller'],2.678445630606713
Great Expectations (Paperback),['charles dickens'],['novel: english language'],3.105921566905274
Six Numbers & Emergency Muakara (Paperback),['mufti azharul islam'],"['invitation, tabligh, lecture, discussion and waj']",1.8965803873347684
Ozifa and Salat Education (Paperback),['abu bakar abdul hai mishkat siddiqui'],"['prayer, darood and yikar']",1.8707254841684606
Tafsir Fee Jealel Quran - (6th volume) (Hardcover),['syed qutub shahid'],['tafsir'],3.0704145623819774
Do not be angry: Paradise (Hardcover),['dr.muhammad ibn abdur rahman arifi'],['translation: self-development and meditation'],4.127514886543476
Books of folk story (hardcover),['shekhar'],['contemporary story'],2.0965803873347686
The girls are (hardcover),['salahuddin shuvro'],['contemporary story'],2.0675574195248347
Inner disease-1 chunk (paperback),['shaikh muhammad saleh al-munajjid'],['islamic books: self-development'],3.973111878627873
Rita Harwart and Shashanka Readamps (Hardcover),['stephen king'],['translation story'],3.4732257696192526
Tafsir Fee Jealel Quran - (20th volume) (Hardcover),['syed qutub shahid'],['tafsir'],3.7482901936673843
Fluffonyas Adventure (Paperback),['shahfar understanding'],['when 8-12: story'],2.2965803873347683
Connected Life (Paperback),['shaikh abdul malik al qasim'],['the help of islamic period and period'],4.034492995476703
Lighthouse (Hardcor),['masuda sultana rumi'],['personal and family life'],4.252438292255114
Medi Chemistry: Chemistry - 1st and second letter (Paperback),['dr.md.moniruzzaman'],['medical filling preparation'],3.752383440926325
Excellent diploma in Nursing Science and Midwifery Course BSC Filling Guide (Paperback),['md. manjurul islam munshi'],"['family planning, health, nursing recruitment']",2.0804836561123072
Waiting for neglected (hardcover),['satyajit chakravarti'],['contemporary story'],3.835526795778256
Tafsir Fee Jealel Quran - (8th chunk) (Hardcover),['syed qutub shahid'],['tafsir'],2.9138169894456403
Ichamati (Rabindra Award) (Hardcover),['bibhutibhushan bandyopadhyay'],['classical novel'],4.126145096833692
Qudasi (Hardcover) in Hadith,['allama muhammad madani'],['hadith'],4.2221450968336915
Cancerity in the story of the story (hardcover),['sanjay mukherjee'],['biology'],3.43536274208423
One Life Many Shade (Hardcover),['shaon asgar'],['contemporary novel'],1.8707254841684606
Story of Imagination (Hardcover),['store bandyopadhyay'],['science fiction'],1.8707254841684606
Anonymous (hardcover),['zahid akbar'],['contemporary novel'],1.8707254841684606
In the city of building (hardcover),['tuhin ahmad poinel'],['typical and travel'],1.8707254841684606
Girl You are Janzibar Toronto (Hardcover),['syed iqbal'],['contemporary novel'],1.8707254841684606
Politics and leaders of Bangladesh - leadership context (hardcover),['malek ahmed chowdhury'],['context: politics of bangladesh'],1.8707254841684606
Overwhelm on the window (hardcover),['naushin sikder'],['contemporary novel'],2.4965803873347685
Happiness clearance (hardcover),['nilabhra zaheer'],['contemporary novel'],2.9138169894456403
Mansurpuri in the Khutuba - 1: Provision of Islam about justice morality and iam (hardcover),['mufti salman mansurpuri'],"['invitation, tabligh, lecture, discussion and waj']",1.8707254841684606
Telecommunications Act (Bengali-English) (Hardcover),['gmsalah uddin (district and sessions judge of rs.)'],['documentary law'],1.8707254841684606
Hurry (Hardcover),['ahmad ridown'],['contemporary novel'],1.8707254841684606
Student History,['lokman chowdhury'],['student life development'],2.9138169894456403
Dear Mohammad of Triangon,['muhammad is jainul abidin'],['rasool in sita'],2.4965803873347685
Mosque based society (hardcover),['maulana rashid ahmad'],"['islamic research, criticism and essay']",2.4965803873347685
The worship of life and livelihood in Islamic consciousness (hardcover),['syeda rashida bari'],['the help of islamic period and period'],1.8707254841684606
Navy Soldier (Paperback),['omar biswash'],"['when age 12-17: mystery, detective, thriller and adventure']",2.4965803873347685
Kherokhaker (Hardcover),['ripon imran'],['composite compilation and whole'],2.4965803873347685
Bangla language application and misunderstood (hardcave),['ahmad sharif (editor)'],"['language research, articles and criticism']",3.22571835787944
The provision of the Prayer of Person (Paperback),['shaykh abdul aziz bin abdullah bin baz (rahemahullah)'],"['salat ', ' prayer']",1.8707254841684606
Muslim Character : A Complete Outline for Practicing Muslim (Hardcover),['sheikh mohammed al - ghazali'],['ideal lifestyle for family and personal'],3.314809266970349
Cutroom (Paperback),['morle arnold'],['child-teenage story'],1.8707254841684606
Master's masterplan (hardcover),['abrar shahriar showpnil'],['science project'],2.4965803873347685
Ward Magic (Paperback),['nazrul islam sir'],['english grammar and language learning'],1.8707254841684606
Think and Grow Rich (Hardcover),['napoleon hill'],['entrepreneur'],2.9425446596304266
Judge Memorization of Life (Hardcover),['gazi shamsur rahman'],['professional memorization and experience'],3.211843133810549
Hunting (Hardcover),['zahid akbar'],['contemporary story'],1.8965803873347684
Kids learning and learning (hardcover),['gazi publication'],['childrenis: primary education'],2.4965803873347685
"Common Mistake in English, Bengali Edition (Paperback)",['pro. jahurul islam'],['spoken'],3.41793899648188
Unlocked Yor Inner Millionaire (Hardcover),"[""jobaya's rubles""]",['self development and motivation'],4.128047470351255
Comics Baghdad Crush (Paperback),['sardar zainul abedin (editor)'],['childrenis: comics and photo stories'],2.4965803873347685
Tahafatul Falasifa (Hardcover),['huzatul islam imam ghazali rah'],"['islamic research, criticism and essay']",3.2902418280561534
Signin al-Qur'an (hardcover),['mohammad naser uddin'],['discussion of the quran'],3.901526795778256
Dhaka University affiliated government 7 college admission help (Business Education Department) (Paperback),['ajay sarkar (editor)'],['business education admission guide'],2.81036274208423
The torment of the grave seen in the eyes (hardcover),['maulana tariq jamil'],"['death, hereafter and paradise-hell']",2.2471503227789738
The Power of IT Jobs (Winning Starts Here) (Paperback),['shaikh farhad hossain'],['education and research'],3.7908808437182246
Hot Summer (Hardcover),['daniel steel'],['translation novel'],1.8707254841684606
Madani Life-Life (Hardcover),['mufti bilal hussein khan'],"['prophet messenger, sahaba, tabee and oli-awlia']",1.8707254841684606
Fazal and Masayel Ramadan (Hardca),['mufti rezaul karim shibli'],"['fasting ', ' fasting']",1.8707254841684606
Living in the water joke (hardcover),['salma dolly'],['contemporary novel'],1.8707254841684606
Salvation of Bangla Rah: Relief (Paperback),"['maulana abdul aziz muhaddes', ' dilavi (rh)']",['islamic rules and masayel'],1.8707254841684606
International Cat Conference (Hardcover),['abul kalam azad'],['when age 12-17: story'],2.9138169894456403
On the way to the abdominal hawder (hardcover),['samir ahsan'],['contemporary novel'],2.4965803873347685
Ruping - 2 (Hardcover),['dr.muhammad abdul jalil'],"['articles, articles and research entire ', ' compilation']",1.8707254841684606
Ruping - 1 (Hardcover),['dr.muhammad abdul jalil'],"['column entire ', ' compilation']",1.8707254841684606
The water is not tweak,['mahbub reza'],['contemporary novel'],2.9138169894456403
Passwords (Hardcover),['kazi rafi'],['contemporary novel'],3.211843133810549
Texture (Hardcover),['md. farhad chowdhury shihab'],['contemporary story'],3.31036274208423
Sheikh Hasina's development country-human development (hardcave),['lion jebin sultana kanta'],['political personality'],1.6965803873347685
Birgatha of Bangladesh (Hardcover),['major md. delwar hossain (dell h khan)'],"['freedom fighters, sectorquakers, military and civilian forces']",3.5733001489749108
Physics 1st (The Royal Guide For Engineering and Varsity Admission Test) (Paperback),['the royal scientific publications'],['engineering admission preparation'],3.97285917893972
Rich Dad Poor Dad (Hardcover),['robert tkiaosaki'],['translation: self-development and meditation'],3.5944239017463735
Professor's Psychological AT IQ (Paperback),['professors publication (editor)'],['mental skill'],3.116377072051834
Medi Physics: Physics 1st and 2nd Letter (Paperback),['dr.md.moniruzzaman'],['medical filling preparation'],3.8068278853707693
Notes (hardcover),['fatima afrin'],['personal and family life'],3.43536274208423
Jochnaful (Hardcover),['abdullah mahmud naviga'],['islamic books: self-development'],4.217681371042115
Ayesha Razah Alh Anha (Hardcover),['hazratul allama solomon river (r :)'],['biography of mahaji women'],4.255716077466953
Banking Diploma Series Economy of Economics and Economy of Bangladesh (only for the Zantibal candidates) (Paperback),['professor mojhar uddin ahmed'],['banking diploma'],1.8707254841684606
Pythagorus's Pathshala (Hardcover),['mohammad kayes'],['scientist and mathematician'],3.43536274208423
Good traveler to life tour (Paperback),['shaikh abdul malik al qasim'],"['salat ', ' prayer']",3.8086847643595263
The last poem (hardcover),['rabindranath tagore'],['classical novel'],1.8707254841684606
Recent Job Translation (1986-2021) (Paperback),['recent publication editorial board'],['others job preparation guide'],2.404809266970349
CheuGuevara (Hardcover) in the history,['nazmul haque nannu'],['historical personality'],2.4965803873347685
Dreaming (Hardcover),['roon khandaker'],['contemporary novel'],3.211843133810549
Life is Youth and Worker (Hardcor),['manik human'],['contemporary novel'],1.8707254841684606
When Bangladesh was independent (hardcover),['berner ori levi'],['translation: liberation war'],3.87690849472282
Abaib (Hardcover),['tanajim rahman'],['thriller'],2.8202072811909886
Teenage Musa Robin: Intelligence Stories The whole -1 - whole -1 (hardcover),['rakib hasan'],"[""children's teenage: mystery, detective, horror, thriller and adventure""]",3.5733001489749108
Riten Science (Science Department) for all university admission tests (Paperback),['bigyanbidya team (editor)'],['admission guide to the department of science'],3.829784907171934
Photography of East Bengal: Rajsakshi Golam Kashem Daddy (Hardcover),['nasir ali mamun'],"['literary, art and music personality']",3.211843133810549
The Holy Quran (English Translation) (Paperback),['abdullah yusuf ali (translator)'],['peer'],3.9168678044088336
Looking for happy life,['maulana tariq jamil'],['personal and family life'],3.18536274208423
Legend IQ (Intelligence Cooperation) (Paperback),['nafis ahmed'],['mental ability'],2.957146302821065
Nasrul Bari Sharah Bukhari (Bengali 8th chunk) (Hardcover),['maulana mohammad osman'],['discussion about hadith'],1.8707254841684606
Honesty Sheikh Mujib (Hardcover),['khairul alam monir'],['politics and political articles'],1.8707254841684606
Life in Maltalai Life (Hardcover),['muhammad kamal hossain'],['contemporary articles'],1.8707254841684606
Ancient ghosts and brave girl Alv (Hardcover),['mohammad ali'],"[""children's novel""]",2.4965803873347685
Sleeping Rhyme (Hardcover),['johnny hossain kabbo'],['rhyme'],1.8707254841684606
Orbit IHT and Mats Filling Guide (Paperback),['dr.golam kabir (editor)'],"['iht, mats and paramedical filling']",1.8707254841684606
Connection-Samus (Paperback),['dr.khandaker shamim ahmed'],['bengali grammar and language education'],3.0536557707415377
BBA Life (Hardcover),['jonaid al-habib'],['student life development'],4.474048365611231
Talent JSC English-1 M and Ishtam and JSC) (Eighth and JSC) (Paperback),['saifur rahman khan'],['eighth grade'],2.4965803873347685
Mathematical Formulas and Application Strategy (Hardcover),['muhammad haroon or rashid neki'],['mathematics'],1.8707254841684606
Happiness,['bertrand russell'],['translation: article'],2.848290193667384
People nearby people (hardcover),['peona afroz'],['contemporary novel'],4.037146302821065
How do the accurate use of time?(Paperback),['dr.khalid abu shadi'],['islamic books: self-development'],3.7729910851521677
Articles Compilation (Hardcover),['maulana mohammad aminul islam rah'],"['islamic research, criticism and essay']",1.8707254841684606
Mute replies (hardcover),['fatema eraj'],['rhyme'],1.8707254841684606
Bir Bangali (Hardcover) of 1971,['tapan kumar dey'],"['freedom fighters, sectorquakers, military and civilian forces']",1.8707254841684606
Fade afternoon (hardcover),['mohammad yasin'],['contemporary novel'],1.8707254841684606
Love for mother in Islam (hardcover),['maulana salim hossain azad'],['women related'],1.8707254841684606
Dead stars (hardcover),['john milton'],['miscellaneous'],1.8707254841684606
Bamboo (Hardcover),['k n n linku'],['contemporary novel'],2.4965803873347685
Blessed of life for language,['aslam sunny'],"['liberation war, language movement and political poems']",2.4965803873347685
You (hardcover) during the sun,['atiq mintu'],['contemporary novel'],1.8707254841684606
Sixty Golden Age Philosophy (Hardcover),['professor dr.mohammad sharfuddin ahmed'],['contemporary novel'],1.8707254841684606
Do not love tunura (hardcover),['aklasuddin ahmad'],['child-teenage story'],1.8707254841684606
115 sources of success (Paperback),['shiva brahra'],['translation: self-development and meditation'],1.8707254841684606
English (Paperback) in 1 Minute,['enamul kabir government'],['english grammar and language education'],3.248778709762417
Genetics (2nd chunk) in the story of the story (Hardcover),['chamok hasan'],['biology'],3.323111878627873
Land Survey Method and Technical Rules (Hardcover),['amrita'],['documentary law'],3.4321934624449226
Chittagong University Question Bank and Admission Guide - D-Unit (Paperback),['rafiqul islam (editor)'],['humanities department admission guide'],2.7203224374082047
Yet the rest of the horse (last share) (hardcover),['rifat hasan-1'],['thriller'],3.6462901936673844
Inner period (second chunk) (Hardcover),['shaikh muhammad saleh al-munajjid'],['the help of islamic period and period'],3.4102638124248945
Medi Biology (biology 1st and second letter) Medical and dental admission test assistant text book) (Paperback),['dr.md.moniruzzaman'],['medical filling preparation'],4.040693998081026
Biitra of Biology,['farhana milly'],['medical filling preparation'],2.4965803873347685
Gunatut Talebin (1st and second volume together) (Hardcover),['hadrat abdul quader jilani (rh)'],['spirituality and sufism'],3.6462901936673844
Lost City (Hardcover),['clive castler'],['thriller'],3.164766881852649
Medina (big size) in Hajj Umrah and Jane,['imam muhammad jazari dameshi (rh)'],['hajj-umrah and sacrifice'],3.43536274208423
Second Earth (Hardcover),['mushtaq ahmed'],['science fiction'],4.161040997121538
Pure Darood and Azifah (Paperback),['professor muhammad iqbal khalani'],"['prayer, darood and yikar']",3.43536274208423
Popsty and middle class (hardcover),['mans chowdhury'],['society and civilization'],1.8707254841684606
The loss of sin is the way to survive (hardcover),['(ø´ùšø® ø§ù„ø§ø³ù„ø§ù… ù…ù\x81øªùš ù…ø\xadù…ø¯ øªù‚ùš ø¹ø«ù…ø§ù†ùš) shaikhul islam mufti mufti muhammad toki uthmani'],['islamic translation book'],2.4965803873347685
Nexus Dhaka University affiliated 7 College Admission Guide (Humanitarian Division) (Paperback),['nexus publication limited (editor)'],"['college ', ' xi category admission guide']",3.211843133810549
Bazikar (Hardcover),['nabil mahratasim'],['thriller'],3.382116077466953
Sahih Bukhari Sharif (1st-10th chunk together) (white) (white) (Hardcover),['imam muhammad ibn ismail bukhari (r)'],['hadith and sunnat'],3.45690849472282
Non-Assistant Assistant Teacher Responsibility Vivibility Help (Paperback),['md. rafiqul islam (text) (editor)'],['primary teacher appointment'],2.7471503227789733
The Godfather (Hardcover),['mario worship'],"['translation: mystery, detective, horror, myth, thriller, and adventure']",3.8202072811909886
